Attack category,Attack subcategory,Protocol,Port_Category,Duration_Cat,Emission
Exploits,Miscellaneous,ospf,Other,Long,ospf_Other_Long
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Exploits,Web Application,tcp,Web,Medium,tcp_Web_Medium
DoS,HTTP,rdp,Other,Short,rdp_Other_Short
Reconnaissance,ICMP,sm,Other,Short,sm_Other_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,pri-enc,Other,Short,pri-enc_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Reconnaissance,SunRPC Portmapper (UDP) UDP Service,udp,RPC,Short,udp_RPC_Short
Fuzzers,OSPF,iatp,Other,Short,iatp_Other_Short
Reconnaissance,SunRPC Portmapper (UDP),udp,RPC,Short,udp_RPC_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,dcn,Other,Short,dcn_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Reconnaissance,ICMP,stp,Other,Short,stp_Other_Short
Backdoor,Unknown,iso-ip,Other,Short,iso-ip_Other_Short
Fuzzers,FTP,tcp,Other,Medium,tcp_Other_Medium
Fuzzers,OSPF,vmtp,Other,Short,vmtp_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,ddp,Other,Short,ddp_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
DoS,ICMP,fire,Other,Short,fire_Other_Short
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Reconnaissance,ICMP,sun-nd,Other,Short,sun-nd_Other_Short
Reconnaissance,ICMP,chaos,Other,Short,chaos_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Generic,IXIA,tcp,Web,Short,tcp_Web_Short
Reconnaissance,ICMP,smp,Other,Short,smp_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Reconnaissance,HTTP,tcp,Web,Medium,tcp_Web_Medium
Exploits,Web Application,tcp,Registered,Short,tcp_Registered_Short
Generic,IXIA,tcp,Web,Medium,tcp_Web_Medium
Reconnaissance,ICMP,ospf,Other,Long,ospf_Other_Long
DoS,Browser,tcp,Web,Short,tcp_Web_Short
DoS,HTTP,aris,Other,Short,aris_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,ggp,Other,Short,ggp_Other_Short
Fuzzers,OSPF,pipe,Other,Short,pipe_Other_Short
Fuzzers,BGP,tcp,Other,Short,tcp_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Office Document,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,sctp,Other,Long,sctp_Other_Long
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
DoS,IGMP,br-sat-mon,Other,Short,br-sat-mon_Other_Short
Exploits,Clientside,tcp,Mail,Medium,tcp_Mail_Medium
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Short,tcp_RPC_Short
Fuzzers,DCERPC,tcp,Other,Medium,tcp_Other_Medium
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Exploits,Browser,tcp,Ephemeral,Medium,tcp_Ephemeral_Medium
Exploits,Web Application,tcp,Web,Medium,tcp_Web_Medium
Exploits,Browser,tcp,Web,Short,tcp_Web_Short
DoS,Miscellaneous,tcp,Mail,Medium,tcp_Mail_Medium
Backdoor,Unknown,br-sat-mon,Other,Short,br-sat-mon_Other_Short
Reconnaissance,ICMP,swipe,Other,Short,swipe_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Fuzzers,OSPF,iplt,Other,Short,iplt_Other_Short
Reconnaissance,ICMP,mobile,Other,Short,mobile_Other_Short
Fuzzers,OSPF,iso-ip,Other,Short,iso-ip_Other_Short
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Exploits,SIP,unas,Other,Short,unas_Other_Short
Exploits,SMB,any,Other,Short,any_Other_Short
Reconnaissance,HTTP,tcp,Web,Short,tcp_Web_Short
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,qnx,Other,Short,qnx_Other_Short
Exploits,Apache,ipip,Other,Short,ipip_Other_Short
Fuzzers,OSPF,mtp,Other,Short,mtp_Other_Short
DoS,RDP,sdrp,Other,Short,sdrp_Other_Short
Exploits,Cisco IOS,tcp,Web,Medium,tcp_Web_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,Web Application,tcp,Web,Short,tcp_Web_Short
Exploits,Miscellaneous,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Browser,tcp,Web,Medium,tcp_Web_Medium
Exploits,Web Application,smp,Other,Short,smp_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Exploits,Miscellaneous,ospf,Other,Long,ospf_Other_Long
Exploits,PHP,unas,Other,Short,unas_Other_Short
DoS,ICMP,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,tcp,Mail,Medium,tcp_Mail_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Exploits,RTSP,sctp,Other,Long,sctp_Other_Long
Reconnaissance,SunRPC Portmapper (UDP) UDP Service,udp,RPC,Short,udp_RPC_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) TCP Service,tcp,RPC,Medium,tcp_RPC_Medium
Exploits,Clientside Microsoft Office,tcp,Mail,Medium,tcp_Mail_Medium
DoS,Miscellaneous,ospf,Other,Medium,ospf_Other_Medium
DoS,NetBIOS/SMB,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,micp,Other,Short,micp_Other_Short
Exploits,Miscellaneous,prm,Other,Short,prm_Other_Short
Fuzzers,RIP,udp,Other,Short,udp_Other_Short
Exploits,Apache,pim,Other,Medium,pim_Other_Medium
Exploits,Miscellaneous,dcn,Other,Short,dcn_Other_Short
Exploits,SMB,unas,Other,Short,unas_Other_Short
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,Office Document,tcp,Mail,Medium,tcp_Mail_Medium
Fuzzers,SMB,udp,Other,Long,udp_Other_Long
Exploits,Miscellaneous,ddp,Other,Short,ddp_Other_Short
Generic,IXIA,udp,DNS,Short,udp_DNS_Short
Exploits,SMB,nsfnet-igp,Other,Short,nsfnet-igp_Other_Short
DoS,Miscellaneous,unas,Other,Short,unas_Other_Short
Backdoor,Unknown,tcp,Web,Medium,tcp_Web_Medium
Generic,IXIA,ptp,Other,Short,ptp_Other_Short
Exploits,Clientside,tcp,Web,Medium,tcp_Web_Medium
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Fuzzers,Syslog,udp,Other,Short,udp_Other_Short
Reconnaissance,SunRPC Portmapper (TCP) UDP Service,tcp,RPC,Short,tcp_RPC_Short
Exploits,SMB,sctp,Other,Short,sctp_Other_Short
Fuzzers,BGP,tcp,Other,Medium,tcp_Other_Medium
Exploits,Backup Appliance,tcp,Registered,Medium,tcp_Registered_Medium
Exploits,Miscellaneous,unas,Other,Short,unas_Other_Short
Fuzzers,OSPF,wb-expak,Other,Short,wb-expak_Other_Short
Fuzzers,OSPF,unas,Other,Short,unas_Other_Short
Exploits,Web Application,sdrp,Other,Short,sdrp_Other_Short
